記録者	日付	クエスト分類	ステージ	難易度	周回数	1周スタミナ	ガチャチケットUP	デーモンコアUP	アイテムガチャチケット	デーモンコア
@Mk2Noko	2020/12/02	素晴らしき哉転生	EXTRA STAGE:1	-	1	20	50	100		
@Mk2Noko	2020/12/10	素晴らしき哉転生	STAGE:3	-	9	10	50	100	18	120
@Mk2Noko	2020/12/08	素晴らしき哉転生	STAGE:3	-	10	10	50	100	30	120
@Mk2Noko	2020/12/07	素晴らしき哉転生	ボスバトル	HARD	1	45	50	100	24	0
@Mk2Noko	2020/12/07	素晴らしき哉転生	ボスバトル	HELL	1	45	50	100	75	0
@Mk2Noko	2020/12/07	素晴らしき哉転生	STAGE:3	-	10	8	50	100	36	112
@Mk2Noko	2020/12/05	素晴らしき哉転生	STAGE:3	-	10	10	50	100	24	128
@Mk2Noko	2020/12/05	素晴らしき哉転生	STAGE:4	-	8	10	50	100	27	124
@Mk2Noko	2020/12/05	素晴らしき哉転生	STAGE:4	-	8	10	50	100	21	132
@Mk2Noko	2020/12/04	素晴らしき哉転生	STAGE:4	-	8	10	50	100	15	140
@Mk2Noko	2020/12/02	素晴らしき哉転生	STAGE:4	-	8	10	50	100	27	124
@Mk2Noko	2020/12/02	素晴らしき哉転生	STAGE:5	-	8	10	50	100	21	132
@Mk2Noko	2020/12/01	素晴らしき哉転生	STAGE:5	-	8	10	50	100	24	128
@Mk2Noko	2020/12/01	素晴らしき哉転生	STAGE:5	-	8	10	50	100	30	120
@Mk2Noko	2020/12/01	素晴らしき哉転生	STAGE:5	-	8	10	50	100	15	140
