記録者	日付	クエスト分類	ステージ	難易度	周回数	1周スタミナ	ベルブースター	魔法糸ブースター	魔法糸小	魔法糸中	魔法糸大	ベル	ジュエル	プレミアガチャチケット	SR以上限定プレミアガチャチケットのかけら	1984セイラ	2061セイラ	クッキングエプロンセイラ	ホリデーカジュアルセイラ	ラウンジウェアセイラ	1984ここあ	2061ここあ	クッキングエプロンここあ	ホリデーカジュアルここあ	ラウンジウェアここあ	俊敏の破宝珠	拒絶の破宝珠
@46yomuyomu46	2021/01/24	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	4	3	79845	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9
@46yomuyomu46	2021/01/22	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	9	3	69976	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
@46yomuyomu46	2021/01/22	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	14	3	67174	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5
@46yomuyomu46	2021/01/21	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	12	3	61654	0	0	0	0	0	0	0	1	0	0	0	0	0	4	3
@46yomuyomu46	2021/01/20	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	4	2	69757	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0
@46yomuyomu46	2021/01/19	メインストーリー第2部	11-7	ヘル	10	8	0	0	0	16	3	55392	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3
@46yomuyomu46	2021/01/08	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	48	9	358153	5	0	0	0	1	0	0	1	0	1	0	0	0	17	15
@46yomuyomu46	2021/01/08	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	39	14	349374	6	0	0	0	0	0	0	1	0	0	0	0	1	11	17
@71hKCMK5Jv9niuH	2021/01/08	メインストーリー第2部	11-6	ヘル	40	8	0	0	0	35	10	259971	12	0	0	1	0	0	0	1	0	0	0	0	2	24	12
@71hKCMK5Jv9niuH	2021/01/07	メインストーリー第2部	11-6	ヘル	36	8	0	0	0	21	6	189150	0	0	0	0	0	0	1	1	0	0	0	1	0	20	16
@71hKCMK5Jv9niuH	2021/01/07	メインストーリー第2部	11-6	ヘル	36	8	0	0	0	32	6	254943	0	0	3	0	0	0	0	0	0	0	0	1	2	12	40
@71hKCMK5Jv9niuH	2021/01/07	メインストーリー第2部	11-6	ヘル	40	8	0	0	0	40	11	245982	15	0	2	0	0	0	0	0	0	0	0	0	2	10	17
@71hKCMK5Jv9niuH	2021/01/07	メインストーリー第2部	11-6	ヘル	40	8	0	0	0	33	6	281775	4	0	3	0	0	0	0	1	0	0	0	0	1	19	23
@46yomuyomu46	2021/01/05	メインストーリー第2部	11-7	ヘル	50	8	0	0	0	51	17	326657	10	0	0	0	0	0	0	1	0	0	0	0	0	13	3
@46yomuyomu46	2021/01/05	メインストーリー第2部	11-6	ヘル	50	8	0	0	0	56	17	291783	6	1	0	0	0	0	1	0	0	0	0	0	2	7	22
