記録者	日付	クエスト分類	SR宝珠	UR宝珠
@Mk2Noko	2021/02/28	宝珠が出るアワビ	20	1
@karu61046702	2021/02/28	宝珠が出るアワビ	90	1
@Key826K	2021/02/28	宝珠が出るアワビ	17	0
@46yomuyomu46	2021/02/28	宝珠が出るアワビ	47	2
@ania_ssss	2021/02/27	宝珠が出るアワビ	19	1
@tera53333447	2021/02/25	宝珠が出るアワビ	112	0
@Key826K	2021/02/25	宝珠が出るアワビ	290	10
@ania_ssss	2021/02/25	宝珠が出るアワビ	10	0
@ania_ssss	2021/02/25	宝珠が出るアワビ	20	0
@mgkm_lunch	2021/02/23	宝珠が出るアワビ	20	0
@Mk2Noko	2021/02/23	宝珠が出るアワビ	30	0
@ania_ssss	2021/02/23	宝珠が出るアワビ	50	0
@kumakuma_MGCM	2021/02/22	宝珠が出るアワビ	47	1
@pILLlLfGduLeXDq	2021/02/22	宝珠が出るアワビ	22	1
@saashahanonbiri	2021/02/22	宝珠が出るアワビ	106	0
